car,model,base price of car,type,category,sub category,fuel type,multi allowed,description,price,car image,currently selected,image,swatch image,is recommended,option_id,material
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,glass,Privacy glass,,,,$0,,no,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,headlights,LED headlights with signature DRL,,,,$0,,yes,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,headlights,Pixel LED headlights with signature DRL,,,,$0,,no,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,exterior,headlights,Digital LED headlights with signature DRL and Image Projection,,,,$0,,no,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"20"" Style 7020 wheels",,,,$0,,yes,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"21"" Style 5112 wheels",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"21"" Style 7021, Diamond Turned wheels with Gloss Dark Grey contrast",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"22"" Style 7023 wheels",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"22"" Style 7023, Diamond Turned wheels with Gloss Black contrast",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"22"" Style 1073, Diamond Turned wheels with Gloss Dark Grey contrast",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"22"" Style 1073, Gloss Black wheels",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"22” Style 5127, Diamond Turned wheels with Satin Dark Grey contrast",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"23"" Style 1074 wheels",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"23"" Style 1075, Gloss Black wheels",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,wheel,"23"" Style 1075, Diamond Turned wheels with Gloss Dark Grey contrast",,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,brakes,Unpainted brake calipers,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,wheels,brakes,Black brake calipers,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,interior,trims,Ebony grained leather seats with Ebony interior,,,,$0,,yes,,,,,Grained leather
Range Rover,Standard Wheelbase - Range Rover,$0,interior,trims,Perlino grained leather seats with Perlino interior,,,,$0,,,,,,,Grained leather
Range Rover,Standard Wheelbase - Range Rover,$0,interior,trims,Ebony perforated Ultrafabrics™ and Kvadrat™ premium textile seats with Ebony interior,,,,$0,,,,,,,Perforated Ultrafabrics™ and Kvadrat™ premium textile
Range Rover,Standard Wheelbase - Range Rover,$0,interior,trims,Ebony perforated Windsor leather seats with Ebony interior,,,,$0,,,,,,,Perforated Windsor leather
Range Rover,Standard Wheelbase - Range Rover,$0,interior,trims,Caraway perforated Windsor leather seats with Caraway interior,,,,$0,,,,,,,Perforated Windsor leather
Range Rover,Standard Wheelbase - Range Rover,$0,interior,trims,Perlino perforated Windsor leather seats with Perlino interior,,,,$0,,,,,,,Perforated Windsor leather
Range Rover,Standard Wheelbase - Range Rover,$0,interior,controls,Noble Chrome controls,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,interior,headlining,Duo Tone Ebony/Perlino headlining,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,interior,headlining,Ebony headlining,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,interior,finishers,Natural Brown Walnut veneer,,,,$0,,,,,,,wood
Range Rover,Standard Wheelbase - Range Rover,$0,interior,finishers,Natural Black Birch veneer,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,interior,finishers,Gloss Grand Black veneer,,,,$0,,,,,,,wood
Range Rover,Standard Wheelbase - Range Rover,$0,interior,interior_upgrade,Extended Leather Upgrade,,,,$0,,yes,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,interior,interior_upgrade,Premium Upgrade Interior Pack,,,,$0,,,,,,,
Range Rover,Standard Wheelbase - Range Rover,$0,packs,packs,Comfort Pack,,,,$0,,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267327/landrover/landrover/features/ComfortPack_20260311_221526_661570.jpg,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267327/landrover/landrover/features/ComfortPack_20260311_221526_661570.jpg,,,
Range Rover,Standard Wheelbase - Range Rover,$0,packs,packs,Driver Assist Pack,,,,$0,,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267333/landrover/landrover/features/DriverAssistPack_20260311_221533_472860.jpg,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267333/landrover/landrover/features/DriverAssistPack_20260311_221533_472860.jpg,,,
Range Rover,Standard Wheelbase - Range Rover,$0,packs,packs,Advanced Off-Road Pack,,,,$0,,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267341/landrover/landrover/features/AdvancedOff-RoadPack_20260311_221541_048300.jpg,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267341/landrover/landrover/features/AdvancedOff-RoadPack_20260311_221541_048300.jpg,,,
Range Rover,Standard Wheelbase - Range Rover,$0,packs,packs,Convenience Pack,,,,$0,,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267348/landrover/landrover/features/ConveniencePack_20260311_221548_097658.jpg,https://res.cloudinary.com/dsmkxcczo/image/upload/v1773267348/landrover/landrover/features/ConveniencePack_20260311_221548_097658.jpg,,,
